DP,P1110,P1256,P1255,P1254,P1230,P1220,P1251,P1250,P1030,P1010,P1340,P1258,P1213,P1212,P1211,P1210,P1090,P1170,P1214,P1132,P1253,P1130,P1131,P1150,P1350,P1252,P1342,P1330,P1287,P1284,P1285,P1040,P1286,P1020,P1281,P1283,P1060,P1280,P1257,P1288,P1180,P1240,P1290,P1270,P1282,P1100,P1300,BSTAT,P1140,P1160,P1080,P1263,P1262,P1120,P1260,P1261,P1200,P1264,P1265,P1341,P1050,P1320,P1190,P1191,P1192,P1310,P1070,DATREG,DANNMF,PASSKEY,PASSMOD
0100,0,0,0,0,0,20064.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20197.4,0,0,0,0,0,0,0,0,132.87,0,0,0,0,0,0,0,0,0,0,0,0,0,101517749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010173880,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101670669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016058048,22333,22333
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,020008741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016010568,22333,22333
0100,0,0,0,0,678.34,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101658130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010201175,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101025363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016018011,22333,22333
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101105233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010096657,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101567225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016000430,22333,22333
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101710851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,4010021230,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101048344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016033118,22333,22333
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010767836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010027558,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101710755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,4010021176,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101657637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1016055723,22333,22333
0100,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101656204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010200632,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131472142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,4220145382,11211,11211
0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101555479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010183681,11211,11211
0100,720,0,0,0,263,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,101539254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-18,1010179501,11211,11211
