orderid,ostat,start,sum,status,user,remains
19013,Canceled,173,19.895,1,5603,173
19017,Canceled,100,0.5,1,5562,0
19018,Canceled,181,19.91,1,5603,0
19021,Canceled,100,0.5,1,468,0
19022,Canceled,100,0.5,1,5563,0
19023,Canceled,111,0.555,1,5563,0
19024,Canceled,200,1,1,468,0
19025,Canceled,100,0.5,1,5562,0
19034,Canceled,1000,35,1,468,0
19036,Canceled,500,2.5,1,468,0
19054,Canceled,6666,99.99,1,5604,6666
19055,Canceled,500,20,1,5604,0
19070,Canceled,6666,99.99,1,5604,6666
19077,Partial,5000,500,1,5569,3941
19081,Canceled,100,6,1,5605,0
19084,Canceled,100,41,1,468,100
19088,Partial,500,7.5,1,5605,427
19119,Canceled,950,57,1,5605,0
19137,Canceled,134,8.04,1,5605,0
19138,Canceled,168,10.08,1,5605,0
