ANI,DNIS,SEQNUM,IVRROUTE,LANGUAGE,CALLANSWEREDTM,CALLDISCONNECTEDTM
4407777,102,114230,NULL,ARA,03/17/2009 06:45:40:063,03/17/2009 06:46:01:110
4407777,102,114231,NULL,ARA,03/17/2009 06:46:16:047,03/17/2009 06:47:10:860
4407777,102,114232,NULL,ARA,03/17/2009 06:48:02:142,03/17/2009 06:49:22:064
4407777,102,114234,NULL,NULL,03/17/2009 07:05:50:086,03/17/2009 07:05:57:852
4407777,102,114233,NULL,NULL,03/17/2009 07:05:40:023,03/17/2009 07:06:05:352
4407777,102,114235,NULL,ARA,03/17/2009 07:06:13:930,03/17/2009 07:07:01:696
4407777,102,114236,NULL,NULL,03/17/2009 07:09:00:181,03/17/2009 07:09:02:806
4407777,102,114238,NULL,ARA,03/17/2009 07:09:56:072,03/17/2009 07:10:18:166
4407777,102,114240,NULL,ARA,03/17/2009 07:10:46:057,03/17/2009 07:11:02:869
4407777,102,114239,NULL,ARA,03/17/2009 07:10:00:119,03/17/2009 07:11:20:744
4407777,102,114241,NULL,ARA,03/17/2009 07:11:29:807,03/17/2009 07:12:05:573
4407777,102,114246,NULL,NULL,03/17/2009 07:17:56:012,03/17/2009 07:17:56:997
4407777,102,114247,NULL,NULL,03/17/2009 07:18:06:075,03/17/2009 07:18:17:528
4407777,102,114249,NULL,NULL,03/17/2009 07:18:37:794,03/17/2009 07:18:38:716
4407777,102,114248,NULL,ARA,03/17/2009 07:18:26:200,03/17/2009 07:20:15:935
4407777,102,114252,NULL,ARA,03/17/2009 07:20:12:138,03/17/2009 07:21:28:092
4407777,102,114254,NULL,ARA\\ISL\\,03/17/2009 07:22:10:092,03/17/2009 07:23:25:921
4407777,102,114256,NULL,NULL,03/17/2009 07:23:46:030,03/17/2009 07:23:48:093
4407777,102,114255,NULL,ARA,03/17/2009 07:23:30:155,03/17/2009 07:24:30:671
4407777,102,114262,NULL,NULL,03/17/2009 07:26:48:125,03/17/2009 07:26:48:891
