PG,PZ,PE,PK,DP,TZ,TE,TK,TG,EGN,TJ1,TJ3,TJ2,PJ1,PJ3,PJ2,PVOB,TJOB,PI13,PI11,TI31,TI32,TIOB,PJOB,TI23,TI22,TI21,PV19,PV18,PV15,PV17,PV16,PV11,PV13,PV12,PD13,PD12,PD11,PD16,PD15,PD14,TI12,TI11,PIOB,PI31,PI32,TD16,PV14,PI23,PI22,PI21,TVOB,TV19,TV18,TV17,TV11,TV13,TV12,TV15,TV14,TV16,TDOB,PI12,TD15,TD14,TD13,TD12,TD11,TI13,DEKL,PDOB,TD1OB,TI2OB,PD121,PI2OB,BSTAT,PI231,PI233,PI232,TV1OB,TI1OB,TI3OB,TV121,TI311,PV121,TI233,TI231,TI232,PD1OB,TD121,PV1OB,PI1OB,PI3OB,PI312,PI311,TI312,DANNMF,PASSMOD
1933,0,1933,0,0400,0,2745,0,2745,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,104525128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042006803,888
0,0,0,0,0400,0,0,0,0,4712225407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,104021231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041022384,10
75,0,-1222,0,0600,0,-1270,0,26,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,51,1297,1296,0,0,0,106014342,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,0,0,0,1061501513,640
0,0,0,0,0600,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,106582035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061618216,692
0,0,0,0,0600,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,106578154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060519516,692
26,0,-50,0,0600,0,-50,0,26,NULL,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,191,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,51,76,76,0,0,0,816088892,0,0,0,0,191,0,0,0,0,0,0,0,76,0,0,191,0,0,0,0,1061504326,640
8,0,8,0,0600,0,8,0,8,NULL,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,106024960,0,0,0,13,8,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,1065504037,640
-130,0,-170,0,0600,0,-170,0,-130,NULL,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,168,0,168,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,51,40,40,0,0,0,106053911,0,0,0,168,0,0,0,0,0,0,0,0,40,0,168,0,0,0,0,0,1061585822,640
0,0,0,0,0600,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,816084004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069501067,640
2,0,2,0,0600,0,2,0,2,NULL,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,816093099,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1066509288,640
2,0,2,0,0600,0,3,0,3,NULL,0,0,0,0,0,0,0,0,0,0,-5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,51,0,0,0,0,0,106051344,0,0,0,0,7,-4,0,0,0,0,0,0,0,0,0,7,-5,-5,0,-5,1064501557,640
